Structure type,,count,mean,std,min,5%,50%,95%,max,skewness,kurtosis
OAR ref,Surface area,11.0,6830.570236363637,1006.8220983517876,5114.8584,5525.6847,6776.8955,8113.421700000001,8133.631,-0.1402327179901011,-1.2449040773669664
OAR ref,Surface area to volume ratio,11.0,0.14652451181818182,0.010998274134959369,0.13148662,0.133673495,0.14530222,0.162600855,0.16836268,0.5184304029218464,-0.5846041912409174
OAR ref,Sphericity,11.0,0.9217630027272726,0.010263990912503858,0.8993364,0.9053582250000001,0.92155784,0.93337845,0.9355527,-0.7937055750858194,0.14201998037453478
OAR ref,Compactness 1,11.0,0.046951143181818186,0.0007825222158451249,0.045246202,0.045702163000000004,0.046933483,0.047839478000000005,0.04800664,-0.7816089843504619,0.12130846486881541
OAR ref,Compactness 2,11.0,0.7834372763636364,0.025947201061734294,0.7273886,0.7421966,0.78265035,0.81316825,0.8188509,-0.7454156056130545,0.06063975608007777
OAR ref,Spherical disproportion,11.0,1.0850009363636366,0.012187515203951338,1.0688869,1.0713826000000002,1.0851191,1.1045840500000002,1.111931,0.8421707136852273,0.22718884792129668
OAR ref,Maximum 3D diameter,11.0,55.043502090909094,5.480168555421565,49.292606,49.316358,54.564247,63.091359999999995,68.00554,1.0907245644318813,0.8072558662809106
OAR ref,PCA major,11.0,51.871457909090914,4.786329906236227,44.630733,45.322466500000004,52.446796,58.879661999999996,61.9152,0.44607783104932325,0.043643756362950814
OAR ref,PCA minor,11.0,46.339761,4.001493177869182,40.313324,40.951824,46.068108,51.2999885,51.84736,-0.09893196358591008,-1.3050614006928256
OAR ref,PCA least,11.0,36.36653145454546,3.1948156680219073,30.907454,31.791102000000002,36.9025,40.646635,40.783974,-0.1982302383311908,-1.0493714765929403
OAR ref,Major axis (equivalent ellipse),11.0,28.781216818181818,1.320369543625406,26.722494,26.928000500000003,28.968063,30.683028,31.474485,0.3278910088245336,-0.08776983520110981
OAR ref,Minor axis (equivalent ellipse),11.0,27.20607481818182,1.1799321641809595,25.39711,25.596667500000002,27.149397,28.649195499999998,28.802044,-0.14184657961994226,-1.2883884969421873
OAR ref,Least axis (equivalent ellipse),11.0,24.10044363636364,1.0660498170825108,22.23779,22.551261500000003,24.298971,25.501849,25.544933,-0.2566340579113211,-1.0132140563639835
OAR ref,Elongation,11.0,0.9462552418181818,0.04258064270543712,0.85467917,0.871373335,0.9504019,0.9903359,1.0005857,-0.9882797853169227,0.11977043494191131
OAR ref,Flatness,11.0,0.8381464900000001,0.036828457952539355,0.77202123,0.788773265,0.8407539,0.888990105,0.90912765,0.08660455510865901,-0.1445100127548753
OAR ref,L/R dimension at centroid,11.0,46.06363636363636,4.423182729047655,38.0,39.9,45.9,52.4,54.0,0.009385091338617459,-0.3515190879041761
OAR ref,A/P dimension at centroid,11.0,34.08181818181818,2.80991750121536,29.2,29.299999999999997,35.1,37.2,38.2,-0.6257809524994709,-0.558468173830843
OAR ref,S/I dimension at centroid,11.0,43.98181818181819,4.63137521300492,39.1,39.1,44.1,51.55,54.0,0.8392026497642808,-0.0391314918729857
OAR ref,S/I arclength,11.0,62.98558336363636,8.600010325228721,48.367886,51.503555500000004,64.255554,76.38862,77.15378,0.10678012845270646,-0.5841544035134167
Rectum ref,Volume,11.0,17446.545454545456,3323.3106494469143,13277.0,14034.5,16478.0,22513.0,24585.0,0.8546249953873268,-0.12934420782924372
Rectum ref,Surface area,11.0,5802.387927272727,1080.173080644503,4548.988,4768.647800000001,5434.4683,7529.2848,8446.386,1.3443808324183693,1.2753333432864373
Rectum ref,Surface area to volume ratio,11.0,0.3331715036363636,0.009904327306608222,0.3178055,0.31822029,0.3350962,0.34397076,0.344383,-0.4303460943417296,-1.2888003709992837
Rectum ref,Sphericity,11.0,0.5635166663636364,0.029643658710232532,0.48409063,0.515431965,0.56969905,0.5903407,0.5960774,-1.8272413199467088,2.8869990532983127
Rectum ref,Compactness 1,11.0,0.022463384636363635,0.0017293271148833165,0.017868532,0.019658836,0.022812197,0.0240640295,0.024414781,-1.7659812080359032,2.7227287538178384
Rectum ref,Compactness 2,11.0,0.180254556,0.025847520915487116,0.113443606,0.138453773,0.1848998,0.2057933,0.21179122,-1.5727899856150582,2.230370559374018
Rectum ref,Spherical disproportion,11.0,1.7795202727272725,0.10371107087478267,1.6776345,1.694097,1.7553128,1.9473202,2.065729,2.053506466776712,3.525918212977114
Rectum ref,Maximum 3D diameter,11.0,73.82812672727272,10.464809173163792,63.217766,63.854578,71.95719,90.56617,101.68568,1.7828668101398608,2.7400056849100416
Rectum ref,PCA major,11.0,67.74840763636362,11.189946084708916,56.893066,57.4366165,65.65605,86.07896,97.39285,1.7769444524154603,2.618698584165724
Rectum ref,PCA minor,11.0,34.399693363636366,1.8531446508575788,32.041367,32.0750505,34.198082,36.637923,37.053116,-0.06152216398378465,-1.4576499473761604
Rectum ref,PCA least,11.0,15.512818,1.7718066621605757,13.716509,13.7373765,15.39966,18.524652500000002,19.704418,1.2260652595081003,0.8464340426345638
